#{"t_start": 1777773341.212728, "env_id": "letter-env"}
r,l,t
2.0,35,3.695552
-12.0,13,3.797897
14.0,20,3.913773
-21.0,18,4.134599
-5.0,67,4.550881
-24.0,23,4.757996
-28.0,41,5.001178
-29.0,64,5.650665
-28.0,73,6.20422
-20.0,3,6.376961
-26.0,43,6.679983
-21.0,24,6.810655
-30.0,45,7.106439
-37.0,56,7.540739
-23.0,46,7.919662
-22.0,15,8.0925
-20.0,7,8.250833
-22.0,29,8.699245
-20.0,7,8.794418
-20.0,7,8.847884
-27.0,46,9.15126
-13.0,57,9.493686
-20.0,9,9.584418
-20.0,3,9.716809
-20.0,7,9.766873
-20.0,9,9.819309
-24.0,19,9.919655
-29.0,28,10.086705
-11.0,37,10.298835
-22.0,21,10.420712
-23.0,22,10.567153
-21.0,30,10.953017
-20.0,7,11.005018
-10.0,45,11.347913
-36.0,49,11.653147
-20.0,3,11.680303
-23.0,22,12.016606
-20.0,11,12.084141
-37.0,66,12.46408
-25.0,18,12.561419
-20.0,5,12.600215
-20.0,7,12.672757
-23.0,24,12.789959
-21.0,18,12.972254
-2.0,26,13.283016
-41.0,90,13.836768
-20.0,3,13.86112
-28.0,41,14.292067
-4.0,30,14.463568
-27.0,76,14.90051
12.0,49,15.448728
-16.0,54,15.899906
-26.0,35,16.126858
-28.0,23,16.395768
148.0,71,16.765893
-40.0,61,17.175683
-25.0,44,17.590627
-26.0,31,17.787241
-20.0,3,17.811225
-28.0,63,18.456043
-20.0,5,18.647381
-23.0,14,18.728885
-7.0,35,18.915738
-27.0,22,19.076633
-20.0,29,19.274581
-26.0,31,22.16558
-20.0,17,23.421315
-21.0,8,24.010247
-21.0,25,26.658404
-27.0,28,29.469485
-2.0,14,30.629854
-20.0,7,31.258424
-2.0,26,33.488165
-21.0,26,35.58356
-20.0,33,38.3787
-20.0,17,39.948731
-25.0,36,43.570524
-20.0,19,45.054015
-30.0,107,55.028324
-26.0,15,56.429071
-2.0,49,60.564938
-20.0,21,62.310537
-27.0,46,254.335372
-22.0,35,256.877206
-24.0,17,258.707113
-43.0,137,270.959152
-23.0,26,273.634422
-25.0,52,278.718397
-23.0,22,280.689923
-23.0,20,282.182932
-27.0,32,285.616881
-37.0,64,290.987004
-35.0,52,295.847002
-23.0,42,299.224669
-23.0,48,303.596854
-21.0,10,304.703548
-20.0,5,305.046781
-20.0,13,306.126728
-38.0,138,317.750068
-20.0,19,319.470515
-26.0,59,324.857771
-27.0,26,327.47667
-20.0,7,328.30573
-20.0,5,328.653327
-21.0,12,329.795778
-24.0,23,331.557673
-20.0,5,332.010869
-22.0,19,333.695385
-24.0,37,336.678896
-22.0,71,343.183142
-26.0,44,347.275776
-3.0,33,349.999814
-22.0,25,352.508141
-23.0,12,353.827466
-20.0,3,354.13241
-23.0,24,356.529641
-9.0,45,360.760097
-26.0,45,364.719988
-26.0,69,371.730479
-23.0,56,377.690952
-23.0,10,378.771177
-26.0,31,381.760619
-21.0,8,382.515537
-22.0,27,384.822626
-28.0,29,387.182945
-32.0,107,396.783802
-20.0,9,397.407366
-20.0,39,401.040396
-36.0,61,405.91258
-27.0,30,408.082592
-24.0,21,410.130178
-23.0,46,413.821027
-21.0,20,415.871227
-20.0,5,416.21975
-23.0,34,419.772986
-23.0,16,421.02134
-21.0,38,424.63377
-21.0,32,427.711796
-4.0,52,432.391513
-8.0,50,437.197713
0.0,18,438.661703
-23.0,8,439.588098
-20.0,11,440.702006
-21.0,16,442.000633
-20.0,11,443.352883
-21.0,24,445.373635
-2.0,24,447.912598
-7.0,89,456.456022
-20.0,11,457.51133
-20.0,27,460.095734
-29.0,42,464.198077
-22.0,14,465.815397
-24.0,41,469.889021
