#{"t_start": 1777764427.170908, "env_id": "letter-env"}
r,l,t
12.0,30,2.557982
-18.0,19,2.673282
-8.0,69,3.110442
-10.0,56,3.447136
-20.0,7,3.530603
18.0,77,4.158168
-20.0,13,4.231012
-20.0,27,4.475322
-20.0,23,4.738626
-20.0,25,4.952294
-20.0,89,5.486747
-20.0,23,5.598315
-20.0,24,5.714715
-20.0,42,6.190524
2.0,47,6.544848
-20.0,12,6.641917
-20.0,7,6.92323
0.0,60,7.549086
-20.0,6,7.590232
-20.0,11,7.705135
-20.0,23,8.009108
0.0,43,8.919103
-20.0,27,9.198019
-20.0,11,9.403532
0.0,22,9.590473
-20.0,27,9.782944
-20.0,24,10.044998
-20.0,13,10.45409
-20.0,21,10.755408
-20.0,15,10.960874
-20.0,27,11.140843
-20.0,17,11.348411
0.0,46,11.766651
-20.0,19,29.54291
-20.0,24,29.737932
-20.0,11,29.85526
-20.0,7,29.934977
-20.0,3,29.977022
-20.0,46,30.67807
-20.0,99,32.167991
-20.0,8,32.31703
-20.0,23,32.810091
-20.0,5,32.884356
0.0,56,34.096882
-20.0,3,34.147585
-20.0,8,34.248201
0.0,72,35.127814
-20.0,61,36.38891
-20.0,27,36.741166
-20.0,137,39.282353
-20.0,112,41.156449
-20.0,13,41.355911
-20.0,3,41.45816
0.0,64,42.132074
-20.0,10,42.660626
-20.0,7,42.732406
-20.0,3,42.777759
-20.0,102,44.975719
0.0,137,62.664221
-20.0,41,63.165877
-20.0,155,65.356311
-20.0,21,65.533101
0.0,38,65.854856
-20.0,24,66.098587
0.0,116,67.365801
-20.0,18,67.538069
0.0,46,67.929045
-20.0,174,71.445982
0.0,16,71.630219
0.0,18,71.946566
0.0,38,72.9533
-20.0,41,73.372608
-20.0,5,73.479427
-20.0,6,73.542186
0.0,20,73.748225
0.0,67,78.411071
-20.0,57,82.866766
-20.0,5,82.935062
-20.0,5,82.97658
-20.0,5,83.02729
-20.0,44,98.148921
-20.0,5,98.225144
-20.0,153,100.055841
0.0,52,101.30296
-20.0,3,101.363325
-20.0,3,101.422994
-20.0,3,101.463581
-20.0,3,101.510951
-20.0,3,101.536259
0.0,12,101.996544
0.0,181,104.863987
0.0,114,106.140762
-20.0,21,106.63917
-20.0,3,106.694803
-20.0,55,107.207509
0.0,18,107.483005
-20.0,5,107.553712
-20.0,29,108.214727
10.0,200,110.512284
-20.0,160,128.796492
-20.0,7,128.91302
-20.0,5,128.9874
-20.0,6,129.047878
-20.0,5,129.105138
-20.0,5,129.166256
-20.0,5,129.209381
-20.0,5,129.256738
-20.0,19,129.668668
-20.0,5,129.732269
-20.0,3,129.763703
0.0,138,131.575806
0.0,32,132.081212
10.0,200,134.688171
10.0,200,137.55965
10.0,200,139.860037
0.0,100,141.750102
0.0,130,158.996502
-20.0,75,159.787449
-20.0,5,159.832658
-20.0,5,159.871507
-20.0,75,161.11431
-20.0,3,161.150021
-20.0,3,161.181479
-20.0,3,161.20312
10.0,200,163.92132
10.0,200,166.344794
0.0,28,166.721027
10.0,200,169.461271
10.0,200,193.715055
0.0,24,194.328938
-20.0,5,194.378473
-20.0,69,195.294672
-20.0,59,195.945749
0.0,162,198.401811
0.0,50,199.017121
0.0,141,200.709871
-20.0,3,200.763287
0.0,179,203.065779
0.0,199,205.599895
-20.0,58,224.61343
10.0,200,227.164761
10.0,200,231.405353
-20.0,54,231.924578
10.0,200,235.196415
0.0,53,236.187726
-20.0,131,238.143922
0.0,14,238.826006
-20.0,128,267.90962
10.0,200,271.562423
-20.0,181,273.737397
-20.0,21,273.958803
10.0,200,277.201271
10.0,200,279.869452
-20.0,153,281.755192
-20.0,11,282.482189
10.0,200,301.380787
10.0,200,304.9627
10.0,200,307.679268
10.0,200,310.938555
10.0,200,313.259584
